step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed
0.0,0,0.0,0.0,0.0
5.0,0,0.0,0.0,11.877976711759734
10.0,0,0.0,0.0,12.50024444038632
15.0,0,0.0,0.0,12.260712448247231
20.0,0,0.0,0.0,12.770365159976329
25.0,0,0.0,0.0,12.421295757179761
30.0,0,0.0,0.0,12.909266562907419
35.0,0,0.0,0.0,12.849528210128328
40.0,0,0.0,0.0,13.009558295997506
45.0,0,0.0,0.0,12.604353641533839
50.0,0,0.0,0.0,12.93555042284207
55.0,0,0.0,0.0,12.684515715058353
60.0,1,1.0,0.041666666666666664,10.765047852020125
65.0,6,18.0,0.5454545454545454,9.792197413706988
70.0,7,52.0,1.5757575757575757,10.302176692731331
75.0,6,74.0,2.242424242424242,10.338900694647384
80.0,6,104.0,3.1515151515151514,10.262686387396746
85.0,6,134.0,3.7222222222222223,9.705602394370347
90.0,9,170.0,4.722222222222222,8.419339084132218
95.0,9,209.0,4.644444444444445,9.281354850584929
100.0,10,259.0,5.7555555555555555,9.959292843459142
105.0,9,299.0,6.644444444444445,9.93630028589109
110.0,10,345.0,7.666666666666667,9.436968356290595
115.0,14,409.0,9.295454545454545,8.453026997250285
120.0,17,487.0,11.325581395348838,7.215883067463928
125.0,17,358.0,6.62962962962963,7.895849140209065
130.0,12,315.0,5.943396226415095,8.98667543360505
135.0,13,237.0,4.471698113207547,9.099283230573954
140.0,9,138.0,2.6538461538461537,9.383375564039547
145.0,8,152.0,2.980392156862745,8.78772028951083
150.0,11,202.0,4.122448979591836,8.512108553072945
155.0,11,159.0,2.789473684210526,9.629199427832745
160.0,9,187.0,3.3392857142857144,10.415253192863911
165.0,7,104.0,1.793103448275862,10.633363378984832
170.0,7,139.0,2.43859649122807,11.023650144911587
175.0,7,164.0,2.8771929824561404,10.69639341679857
180.0,9,204.0,3.5789473684210527,10.271999246404755
185.0,11,183.0,2.859375,10.169298843282343
190.0,8,66.0,1.1,10.243674892498156
195.0,5,38.0,0.6333333333333333,10.404614466210882
200.0,9,76.0,1.3818181818181818,10.432755953605987
205.0,9,102.0,1.8545454545454545,10.296104409336762
210.0,10,148.0,2.740740740740741,9.61086639505949
215.0,13,172.0,2.8666666666666667,9.27499488795413
220.0,11,162.0,2.793103448275862,9.004095191629036
225.0,9,182.0,3.192982456140351,9.28980565309888
230.0,12,234.0,4.254545454545455,9.486617761934097
235.0,12,267.0,5.037735849056604,8.994619811210967
240.0,13,331.0,6.365384615384615,8.94299320753139
245.0,15,363.0,5.761904761904762,8.87737403748357
250.0,13,367.0,6.220338983050848,9.36265582416699
255.0,11,392.0,6.87719298245614,9.403109921780363
260.0,14,458.0,8.035087719298245,9.56247447819798
265.0,11,234.0,4.254545454545455,9.237617799298553
270.0,7,89.0,1.6481481481481481,8.990555960916554
275.0,12,139.0,2.278688524590164,8.990086292227268
280.0,17,218.0,3.6333333333333333,9.327343971555532
285.0,13,256.0,4.19672131147541,9.5551249574362
290.0,10,281.0,4.762711864406779,10.283551397437778
295.0,10,236.0,4.068965517241379,10.048903961436531
300.0,10,264.0,4.631578947368421,9.490180121731324
305.0,13,231.0,3.6666666666666665,9.653293555533931
310.0,10,95.0,1.5833333333333333,9.570357396275297
315.0,9,122.0,2.033333333333333,10.220782343558465
320.0,9,109.0,1.847457627118644,10.118069449445734
325.0,11,162.0,2.7457627118644066,9.855545795614916
330.0,13,201.0,3.5892857142857144,8.944193464359383
335.0,12,229.0,3.523076923076923,9.139360208980868
340.0,14,275.0,4.365079365079365,9.197315499020824
345.0,16,349.0,5.721311475409836,9.4256323100578
350.0,13,239.0,3.9833333333333334,9.242799706907256
355.0,13,234.0,4.254545454545455,9.065925755654398
