step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed
0.0,0,0.0,0.0,0.0
5.0,0,0.0,0.0,12.069941873165995
10.0,0,0.0,0.0,12.65800669482829
15.0,0,0.0,0.0,12.896405986205986
20.0,0,0.0,0.0,12.861219745686872
25.0,0,0.0,0.0,12.740873930707094
30.0,0,0.0,0.0,12.84843138837848
35.0,0,0.0,0.0,12.953350695901506
40.0,0,0.0,0.0,13.159070173875582
45.0,0,0.0,0.0,12.574647234312039
50.0,0,0.0,0.0,12.647701909071946
55.0,3,7.0,0.2916666666666667,10.949971593946982
60.0,1,9.0,0.375,9.94258253619223
65.0,4,22.0,0.6666666666666666,10.40693211322386
70.0,2,16.0,0.48484848484848486,11.10424282626808
75.0,2,26.0,0.7878787878787878,11.68942552453547
80.0,2,4.0,0.12121212121212122,10.926104244986245
85.0,5,23.0,0.6388888888888888,11.116035510657817
90.0,5,28.0,0.7777777777777778,9.976519918673123
95.0,7,48.0,1.0666666666666667,10.493070829014679
100.0,6,70.0,1.5555555555555556,10.65213513422553
105.0,7,101.0,2.2444444444444445,10.527180047966937
110.0,6,67.0,1.5227272727272727,10.527986491209315
115.0,7,98.0,2.3333333333333335,10.231656014121903
120.0,6,57.0,1.3571428571428572,9.74468553888402
125.0,7,90.0,1.7307692307692308,10.663661052067539
130.0,5,74.0,1.4230769230769231,11.162133557017825
135.0,6,76.0,1.4901960784313726,11.241927671063257
140.0,5,66.0,1.346938775510204,11.151124762435789
145.0,5,91.0,1.8958333333333333,10.486406267331729
150.0,8,41.0,0.8723404255319149,10.027367027782466
155.0,8,75.0,1.3636363636363635,10.532235482370998
160.0,6,65.0,1.2037037037037037,10.852790772525598
165.0,5,79.0,1.462962962962963,11.313333843259977
170.0,3,49.0,0.9423076923076923,11.710358335168896
175.0,3,40.0,0.7843137254901961,11.144050937206908
180.0,6,34.0,0.6938775510204082,10.729801015703206
185.0,6,64.0,1.1428571428571428,10.709179346849572
190.0,6,46.0,0.8363636363636363,10.61328344970644
195.0,7,65.0,1.2745098039215685,10.841251962487672
200.0,4,41.0,0.803921568627451,11.27074667112065
205.0,5,62.0,1.24,11.317318952194512
210.0,3,42.0,0.8571428571428571,11.322191471638803
215.0,4,41.0,0.7321428571428571,11.07228808325112
220.0,5,24.0,0.4444444444444444,10.213781189647401
225.0,8,57.0,1.1176470588235294,10.577039606099104
230.0,6,49.0,0.98,10.81080033381183
235.0,6,79.0,1.6122448979591837,11.137300294378495
240.0,5,59.0,1.2826086956521738,9.728017237553605
245.0,7,93.0,1.631578947368421,10.660184541043321
250.0,7,74.0,1.3454545454545455,10.664060258516267
255.0,6,77.0,1.4807692307692308,11.170901615669631
260.0,3,46.0,0.92,11.220956783023796
265.0,5,67.0,1.3673469387755102,10.83016950310915
270.0,6,47.0,0.9591836734693877,10.101250175431286
275.0,8,82.0,1.4385964912280702,10.664681013736267
280.0,7,80.0,1.4814814814814814,10.50021069584409
285.0,7,115.0,2.0535714285714284,11.006163930559321
290.0,7,98.0,1.849056603773585,10.553824272519062
295.0,7,99.0,1.9411764705882353,10.568875942341222
300.0,6,51.0,1.02,10.3444666208726
305.0,8,87.0,1.5263157894736843,10.604100427397885
310.0,8,64.0,1.1851851851851851,9.8694436355945
315.0,9,107.0,2.018867924528302,10.422017896966263
320.0,6,116.0,2.36734693877551,10.662138337563066
325.0,6,146.0,2.8627450980392157,10.538337434457999
330.0,6,92.0,1.8775510204081634,10.186796552305754
335.0,6,116.0,2.0714285714285716,10.341339096295007
340.0,7,80.0,1.4545454545454546,10.855379717597426
345.0,5,68.0,1.2363636363636363,11.511860924188383
350.0,3,37.0,0.7254901960784313,11.068088369101398
355.0,5,59.0,1.2040816326530612,11.186084358608726
360.0,4,33.0,0.7021276595744681,10.920279149587133
365.0,5,54.0,0.9310344827586207,11.20265649742144
370.0,5,47.0,0.8392857142857143,10.770237737412499
375.0,7,61.0,1.0892857142857142,11.33089398960639
380.0,4,41.0,0.7735849056603774,10.56114603048999
385.0,7,74.0,1.3962264150943395,10.37203672624208
390.0,6,57.0,1.163265306122449,10.319567318803756
395.0,6,87.0,1.6111111111111112,10.657036606745102
400.0,5,69.0,1.3269230769230769,10.93519242695626
405.0,5,94.0,1.7407407407407407,11.480322902961735
