step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed
0.0,0,0.0,0.0,0.0
5.0,0,0.0,0.0,12.892547186150052
10.0,0,0.0,0.0,12.897753942280913
15.0,0,0.0,0.0,12.708527317344874
20.0,0,0.0,0.0,12.911182827564948
25.0,0,0.0,0.0,13.019141015393286
30.0,0,0.0,0.0,13.15704650609248
35.0,0,0.0,0.0,13.303262288510252
40.0,0,0.0,0.0,13.381814838143331
45.0,0,0.0,0.0,12.918429922170693
50.0,0,0.0,0.0,12.88406047419096
55.0,0,0.0,0.0,11.689101589969406
60.0,4,9.0,0.375,10.000444252744916
65.0,5,34.0,1.0303030303030303,10.59261494022929
70.0,3,36.0,1.0909090909090908,10.09973547527398
75.0,6,65.0,1.9696969696969697,10.99257329394132
80.0,5,50.0,1.5151515151515151,10.03791156788069
85.0,5,66.0,1.8333333333333333,10.132370317536349
90.0,6,32.0,0.8888888888888888,9.043628218635742
95.0,8,68.0,1.511111111111111,10.252250492100487
100.0,5,56.0,1.2444444444444445,10.903517530951168
105.0,6,72.0,1.6363636363636365,11.108622290403174
110.0,3,38.0,0.8636363636363636,11.303792947947695
115.0,5,59.0,1.3409090909090908,10.930022012473552
120.0,7,43.0,1.0,10.091650029161338
125.0,8,49.0,0.8909090909090909,10.520805870327194
130.0,6,61.0,1.150943396226415,10.893262526341328
135.0,6,91.0,1.7843137254901962,11.339880934150653
140.0,3,50.0,1.0204081632653061,11.50657778166311
145.0,3,65.0,1.3829787234042554,11.027113722731219
150.0,7,38.0,0.8260869565217391,9.5925310968257
155.0,10,82.0,1.490909090909091,10.119972106559086
160.0,9,112.0,2.1538461538461537,10.122656232892057
165.0,9,157.0,2.9074074074074074,10.330764819430089
170.0,8,136.0,2.72,9.98747832593354
175.0,7,125.0,2.5510204081632653,10.203033413148727
180.0,6,71.0,1.4791666666666667,9.759049418345358
185.0,7,87.0,1.5535714285714286,10.463916475427242
190.0,4,31.0,0.5740740740740741,10.988516783019657
195.0,4,51.0,1.02,11.179312436801752
200.0,4,49.0,0.98,11.123221851336375
205.0,5,70.0,1.3461538461538463,10.734936803631788
210.0,9,52.0,1.0196078431372548,9.610455503051401
215.0,8,63.0,1.0677966101694916,10.598001482143198
220.0,6,64.0,1.0847457627118644,10.805417844838708
225.0,7,96.0,1.6842105263157894,11.203811888808557
230.0,4,65.0,1.1403508771929824,11.140289319898057
235.0,6,90.0,1.6071428571428572,10.547984446116915
240.0,9,97.0,1.9795918367346939,9.316805826352324
245.0,11,134.0,2.3508771929824563,10.050273433433869
250.0,8,80.0,1.4285714285714286,10.242115791391004
255.0,7,103.0,1.8727272727272728,10.898850133477035
260.0,4,83.0,1.5660377358490567,11.296791655723535
265.0,6,105.0,2.0588235294117645,10.25997017780784
270.0,7,49.0,1.0,9.663449967154877
275.0,8,81.0,1.4210526315789473,10.749384181517984
280.0,7,77.0,1.4,10.956828846966307
285.0,5,73.0,1.3272727272727274,10.972519287009241
290.0,5,47.0,0.9215686274509803,11.000047587835203
295.0,5,72.0,1.411764705882353,11.11244926492297
300.0,5,58.0,1.1372549019607843,10.205555714637873
305.0,10,98.0,1.6610169491525424,10.145553187077008
310.0,10,108.0,1.9285714285714286,10.17507796106381
315.0,8,119.0,2.2452830188679247,10.58583790798668
320.0,5,69.0,1.4081632653061225,10.264744313062204
325.0,6,98.0,2.0,10.318880098123953
330.0,5,50.0,1.0638297872340425,10.551779115068612
335.0,7,81.0,1.4727272727272727,10.971180946745866
340.0,4,52.0,0.9629629629629629,10.915852421771282
345.0,6,78.0,1.4444444444444444,11.234394690499608
350.0,4,48.0,0.9795918367346939,11.438021951072258
355.0,5,70.0,1.4583333333333333,10.894371038036345
360.0,6,44.0,0.9565217391304348,10.118308368624335
365.0,7,74.0,1.2982456140350878,10.606338476269483
370.0,7,52.0,0.9122807017543859,10.798590175042163
375.0,6,79.0,1.462962962962963,11.249989363293809
380.0,4,66.0,1.2452830188679245,11.255314537151271
385.0,5,90.0,1.8,10.628765958260608
390.0,8,104.0,2.1666666666666665,10.296279791969198
395.0,9,148.0,2.740740740740741,10.07559561411921
400.0,8,69.0,1.3018867924528301,10.078730497213622
405.0,6,73.0,1.3272727272727274,10.986331896207835
410.0,3,51.0,0.9444444444444444,11.47312907380474
415.0,6,70.0,1.3461538461538463,10.96924742447676
420.0,7,45.0,0.8653846153846154,9.910640889276722
