step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed
0.0,0,0.0,0.0,0.0
5.0,0,0.0,0.0,13.027011251534484
10.0,0,0.0,0.0,13.376462878206572
15.0,0,0.0,0.0,13.419250106095033
20.0,0,0.0,0.0,13.245071476809676
25.0,0,0.0,0.0,13.327439993460986
30.0,0,0.0,0.0,13.368024576197998
35.0,0,0.0,0.0,12.982679243964261
40.0,0,0.0,0.0,13.218995730668738
45.0,0,0.0,0.0,12.652953608107302
50.0,0,0.0,0.0,12.844225404472743
55.0,1,2.0,0.08333333333333333,11.10396902452787
60.0,4,17.0,0.7083333333333334,8.609022062189185
65.0,7,45.0,1.3636363636363635,9.507603369467107
70.0,5,50.0,1.5151515151515151,9.701023527836247
75.0,6,78.0,2.3636363636363638,10.466306880658134
80.0,4,61.0,1.8484848484848484,10.137094797169102
85.0,5,83.0,2.3055555555555554,10.536009501282017
90.0,5,47.0,1.3055555555555556,10.079697707676628
95.0,6,47.0,1.0444444444444445,10.557518706411575
100.0,4,51.0,1.1333333333333333,10.795343456579394
105.0,5,76.0,1.6888888888888889,11.155573198954212
110.0,4,65.0,1.4444444444444444,11.14385830718852
115.0,5,86.0,1.9111111111111112,10.761795685783696
120.0,6,32.0,0.7441860465116279,10.007760196513305
125.0,6,52.0,0.9629629629629629,10.938097049658445
130.0,6,46.0,0.8846153846153846,11.024528146992312
135.0,6,62.0,1.2156862745098038,11.68128608053719
140.0,3,41.0,0.82,11.344531801050628
145.0,6,65.0,1.3541666666666667,10.749993116132236
150.0,6,50.0,1.0869565217391304,10.332933874564253
155.0,7,73.0,1.3518518518518519,10.609618832413789
160.0,6,69.0,1.3269230769230769,10.831282654051716
165.0,5,92.0,1.6727272727272726,11.42523113599552
170.0,4,60.0,1.1320754716981132,11.461987930479312
175.0,3,49.0,1.0,10.942436868115163
180.0,4,13.0,0.2708333333333333,10.734780929534338
185.0,5,29.0,0.5370370370370371,10.885109873640301
190.0,6,26.0,0.48148148148148145,11.062640931414544
195.0,6,56.0,1.037037037037037,11.633154772896384
200.0,3,38.0,0.7450980392156863,11.851765829463927
205.0,3,53.0,1.0392156862745099,12.154401399830094
210.0,1,21.0,0.44680851063829785,11.823646695174341
215.0,5,15.0,0.2777777777777778,11.359050635400845
220.0,4,32.0,0.6037735849056604,10.950282587400464
225.0,8,65.0,1.2745098039215685,10.89345826602454
230.0,6,68.0,1.3877551020408163,10.602429850350633
235.0,7,103.0,2.239130434782609,10.02958105380616
240.0,7,69.0,1.5681818181818181,9.725768275595758
245.0,7,98.0,1.849056603773585,10.621372210777396
250.0,6,78.0,1.5294117647058822,10.763006435426947
255.0,5,78.0,1.5294117647058822,11.316976300414964
260.0,2,34.0,0.68,11.394872116863
265.0,3,48.0,0.9795918367346939,10.963764336434108
270.0,6,64.0,1.391304347826087,10.248972778024243
275.0,7,94.0,1.7407407407407407,10.677113900797085
280.0,5,72.0,1.3333333333333333,10.532144721091962
285.0,6,101.0,1.8703703703703705,10.8997049991356
290.0,2,20.0,0.38461538461538464,11.382734217137799
295.0,3,31.0,0.6078431372549019,11.486821773404609
300.0,2,10.0,0.2,11.271698155966256
305.0,3,22.0,0.39285714285714285,11.322890320458528
310.0,6,46.0,0.8679245283018868,10.72594482335324
315.0,7,79.0,1.58,10.892142753141947
320.0,4,53.0,1.127659574468085,10.912088207640892
325.0,4,73.0,1.489795918367347,11.50033490149997
330.0,3,43.0,0.8958333333333334,10.920485850129879
335.0,6,42.0,0.7368421052631579,11.270769828186573
340.0,5,38.0,0.7037037037037037,10.715934523464872
345.0,7,58.0,1.0943396226415094,10.591449573936504
350.0,6,64.0,1.3061224489795917,10.433383609417255
355.0,7,95.0,1.9791666666666667,9.929568147319992
360.0,6,73.0,1.5869565217391304,9.752452803814174
365.0,8,99.0,1.706896551724138,10.33494544025029
370.0,8,103.0,1.8727272727272728,10.423478519796356
375.0,7,131.0,2.381818181818182,11.01370964667592
380.0,6,94.0,1.8076923076923077,10.664451789197718
385.0,4,69.0,1.4081632653061225,10.447295357285789
